# Data Pemetaan Potensi & Fasilitas Desa Barusuda
*(Kecamatan Cigedug, Kabupaten Garut)*

Dokumen ini berisi rangkuman data pemetaan fasilitas umum, sarana pendidikan, rumah ibadah, dan potensi desa di wilayah **Desa Barusuda** untuk keperluan survei lapangan (KKN).

---

## 🎓 1. Fasilitas Pendidikan

### Pendidikan Anak Usia Dini (PAUD / TK / KOBER)
| Nama Satuan Pendidikan | Lokasi / Kampung | Keterangan |
| :--- | :--- | :--- |
| **KB Al-Ikhlas** | Desa Barusuda | PAUD/Kelompok Bermain |
| **KB Al-Muta'alimin** | Kp. Cibitung RT 04 RW 04 | PAUD/Kelompok Bermain |
| **KOBER Ihsan Mubarok** | Kp. Sayuran RT 01 RW 09 | PAUD/Kelompok Bermain |

### Sekolah Dasar (SD / MI)
| Nama Satuan Pendidikan | Lokasi / Kampung | Keterangan |
| :--- | :--- | :--- |
| **SDN 1 Barusuda** | Kp. Sayuran RT 02 RW 09 | Sekolah Dasar Negeri |
| **SDN 2 Barusuda** | Kp. Cibitung | Sekolah Dasar Negeri |
| **MIS Babussalam** | Kp. Sayuran | Madrasah Ibtidaiyah Swasta |
| **MIS Nurul Falah** | Kp. Olan | Madrasah Ibtidaiyah Swasta |
| **MIS Al-Muttaqin** | Desa Barusuda | Madrasah Ibtidaiyah Swasta |
| **MIS Manbaul Huda** | Desa Barusuda | Madrasah Ibtidaiyah Swasta |

### Sekolah Menengah (SMP / MTs / MA)
| Nama Satuan Pendidikan | Lokasi / Kampung | Keterangan |
| :--- | :--- | :--- |
| **SMP IT Daarul Amiin** | Kp. Barusuda RT 03/RW 06 | Jenjang SMP Swasta |
| **SMP IT Al-Inayah** | Kp. Bukatanah RT 003/RW 001 | Jenjang SMP Swasta |
| **MTs Babussalam** | Desa Barusuda | Madrasah Tsanawiyah Swasta |
| **SMA IT Daarul Amiin** | Kp. Barusuda | SMA Swasta |
| **MAS Nurul Falah** | Kp. Olan RT 01/RW 05 | Madrasah Aliyah Swasta |

---

## 🕌 2. Sarana Ibadah & Pesantren

| Nama Sarana / Pesantren | Lokasi / Kampung | Keterangan |
| :--- | :--- | :--- |
| **Ponpes Miftahul Hidayah** | Kp. Sayuran RT 01/RW 09 | Pesantren bersejarah, berdiri sejak 1901 |
| **Ponpes Baitul Huda** | Kp. Pasir Tengah | Pesantren berbasis Salafy di kaki Gunung Cikuray |
| **Ponpes Nurul Falah** | Kp. Olan | Aktif sejak 1990 dalam pengajian rutin warga |
| **Ponpes Miftahul Falah** | Kp. Awi Hideung | Pusat Pendidikan Islam |
| **Ponpes Daarul Amiin** | Kp. Barusuda | Terintegrasi dengan SMP IT Daarul Amiin |
| **Masjid Daarul Aamiin** | Kp. Barusuda RT 03/RW 03 | Masjid di lingkungan pesantren |
| **Rumah Tahfidz Ash-Shaff** | Desa Barusuda | Lembaga khusus Hafalan Al-Qur'an |

---

## 🏥 3. Fasilitas Kesehatan

| Nama Fasilitas | Lokasi / Kampung | Keterangan |
| :--- | :--- | :--- |
| **Puskesdes Barusuda** | Lingkungan Kantor Desa | Melayani pemeriksaan kesehatan dasar warga desa |
| **Posyandu Olan & Pasir Tengah** | Kp. Olan & Pasir Tengah | Fasilitas layanan balita, ibu hamil, dan lansia |

---

## 🎭 4. Seni, Budaya & Adat

| Nama Paguyuban / Tradisi | Kategori | Keterangan |
| :--- | :--- | :--- |
| **Grup Sinar Sawargi** | Kesenian Calung | Aktif melestarikan seni musik tradisional Sunda |
| **Grup Gentra Sawargi** | Kesenian Calung | Aktif melestarikan seni musik tradisional Sunda |
| **Paguron Mekar Panglipur**| Bela Diri (Pencak Silat) | Menjaga warisan budaya dan melatih generasi muda |

---

## 💼 5. UMKM, Sosial & Inovasi Lingkungan

| Nama Usaha / Program | Kategori | Keterangan |
| :--- | :--- | :--- |
| **Kerajinan Anyaman Bambu** | UMKM Lokal | Kerajinan tangan dari bambu oleh warga Barusuda |
| **Inovasi Eco-Enzyme** | Pengolahan Limbah | Inisiatif pengolahan limbah organik hasil pertanian |
| **Yayasan Bani Assikkiin** | Lembaga Sosial | Bergerak di bidang pelayanan sosial desa |
