Kategori,Nama Fasilitas,Desa,Alamat,Google Maps Link,Latitude,Longitude,Keterangan Tambahan,Status KKN
Pendidikan,"KB Al-Ikhlas","Barusuda","Desa Barusuda","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"KB Al-Muta'alimin","Barusuda","Kp. Cibitung RT 04 RW 04","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"KOBER Ihsan Mubarok","Barusuda","Kp. Sayuran RT 01 RW 09","#",,,"PAUD/Kelompok Bermain",Belum Survei
Pendidikan,"SDN 1 Barusuda","Barusuda","Kp. Sayuran RT 02 RW 09","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"SDN 2 Barusuda","Barusuda","Kp. Cibitung","#",,,"Sekolah Dasar Negeri",Belum Survei
Pendidikan,"MIS Babussalam","Barusuda","Kp. Sayuran","#",,,"Madrasah Ibtidaiyah Swasta",Belum Survei
Pendidikan,"MIS Nurul Falah","Barusuda","Kp. Olan","#",,,"Madrasah Ibtidaiyah Swasta",Belum Survei
Pendidikan,"MIS Al-Muttaqin","Barusuda","Desa Barusuda","#",,,"Madrasah Ibtidaiyah Swasta",Belum Survei
Pendidikan,"MIS Manbaul Huda","Barusuda","Desa Barusuda","#",,,"Madrasah Ibtidaiyah Swasta",Belum Survei
Pendidikan,"SMP IT Daarul Amiin","Barusuda","Kp. Barusuda RT 03/RW 06","#",,,"Jenjang SMP Swasta",Belum Survei
Pendidikan,"SMP IT Al-Inayah","Barusuda","Kp. Bukatanah RT 003/RW 001","#",,,"Jenjang SMP Swasta",Belum Survei
Pendidikan,"MTs Babussalam","Barusuda","Desa Barusuda","#",,,"Madrasah Tsanawiyah Swasta",Belum Survei
Pendidikan,"SMA IT Daarul Amiin","Barusuda","Kp. Barusuda","#",,,"SMA Swasta",Belum Survei
Pendidikan,"MAS Nurul Falah","Barusuda","Kp. Olan RT 01/RW 05","#",,,"Madrasah Aliyah Swasta",Belum Survei
Pesantren,"Ponpes Miftahul Hidayah","Barusuda","Kp. Sayuran RT 01/RW 09","#",,,"Pesantren bersejarah, berdiri sejak 1901",Belum Survei
Pesantren,"Ponpes Baitul Huda","Barusuda","Kp. Pasir Tengah","#",,,"Pesantren berbasis Salafy di kaki Gunung Cikuray",Belum Survei
Pesantren,"Ponpes Nurul Falah","Barusuda","Kp. Olan","#",,,"Aktif sejak 1990 dalam pengajian rutin warga",Belum Survei
Pesantren,"Ponpes Miftahul Falah","Barusuda","Kp. Awi Hideung","#",,,"Pusat Pendidikan Islam",Belum Survei
Pesantren,"Ponpes Daarul Amiin","Barusuda","Kp. Barusuda","#",,,"Terintegrasi dengan SMP IT Daarul Amiin",Belum Survei
Pesantren,"Masjid Daarul Aamiin","Barusuda","Kp. Barusuda RT 03/RW 03","#",,,"Masjid di lingkungan pesantren",Belum Survei
Pesantren,"Rumah Tahfidz Ash-Shaff","Barusuda","Desa Barusuda","#",,,"Lembaga khusus Hafalan Al-Qur'an",Belum Survei
Kesehatan,"Puskesdes Barusuda","Barusuda","Lingkungan Kantor Desa","#",,,"Melayani pemeriksaan kesehatan dasar warga desa",Belum Survei
