kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa_kelurahan,nama_desa_kelurahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Laki-laki","6248","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Perempuan","5635","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Laki-laki","5361","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Perempuan","5101","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Laki-laki","2899","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Perempuan","2761","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Laki-laki","3781","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Perempuan","3699","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Laki-laki","4879","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Perempuan","4783","Jiwa","2025"
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Laki-laki","6128","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Perempuan","5491","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Laki-laki","5223","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Perempuan","4955","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Laki-laki","2845","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Perempuan","2716","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Laki-laki","3860","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Perempuan","3642","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Laki-laki","4843","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Perempuan","4744","Jiwa","2024"
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Laki-laki","6207","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Perempuan","5774","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Laki-laki","5206","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Perempuan","4948","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Laki-laki","2840","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Perempuan","2714","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Laki-laki","3858","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Perempuan","3632","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Laki-laki","4833","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Perempuan","4729","Jiwa","2023"
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Laki-laki","6083","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182001","Cigedug","Perempuan","5392","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Laki-laki","5178","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182002","Barusuda","Perempuan","4917","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Laki-laki","2819","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182003","Sukahurip","Perempuan","2692","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Laki-laki","3847","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182004","Sindangsari","Perempuan","3590","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Laki-laki","4815","Jiwa","2022"
"3205","Garut","320518","Cigedug","3205182005","Cintanagara","Perempuan","4713","Jiwa","2022"
