No	NPSN	Nama Sekolah	Alamat	Kecamatan	Jenis Sekolah
1	60707924	MIS AL-HIKMAH	Kp. Situkiruh	Cintanagara	SWASTA
2	69982934	MIS AL-MUTTAQIN 82	KP. SIDERANG LEGOK	Cintanagara	SWASTA
3	60707925	MIS BABUSSALAM	Jl. Cigedug No.1170	Barusuda	SWASTA
4	69727490	MIS MANBAUL HUDA	Kp. Areng Rt. 02 Rw. 03	Cigedug	SWASTA
5	60707926	MIS NURUL FALAH	Kp. Olan	Barusuda	SWASTA
6	60707927	MIS NURUL ISLAM	Kp. Cihuru 02/04	Sukahurip	SWASTA
7	60727401	MTSS AL KAFI	Kampung Negla Rt 04 Rw 02	Sindangsari	SWASTA
8	20278255	MTSS BABUSSALAM	Jl. Cigedug No 1770 Kp. Sayuran	Barusuda	SWASTA
9	20278256	MTSS DAARUTTAQWA	Kp. Situgede Rt. 01 Rw. 08	Kec. Cigedug	SWASTA
10	20278258	MTSS MANBAUL HUDA	KP.ARENG RT.002 RW.003	Cigedug	SWASTA
11	69983258	MTSS MIFTAHUL ULUM CIGEDUG	Kp. Cigedug Tengah 01/05	Sukahurip	SWASTA
12	20278257	MTSS SA NURUL FALAH	Kp Olan Rt.01/rw.05	Barusuda	SWASTA
13	70063519	SD IT AL IKHLAS	Kp. Barusuda RT 001 RW 006	Barusuda	SWASTA
14	69913188	SD IT HIDAYATUL MUBTADIIN	Kp. Barukai Kaler RT 03/04	Cigedug	SWASTA
15	70012563	SD IT MIFTAHUL HUDA	KP. Cibelendung RT 01 RW 09	Cintanagara	SWASTA
16	20225694	SDN 1 Barusuda	Kp. Sayuran RT.02 RW. 09	Barusuda	NEGERI
17	20225801	SDN 1 Cigedug	Kp. Cigedug Tonggoh Rt. 03 Rw. 09 Desa Cigedug Kecamatan Cigedug Kabupaten Garut	Cigedug	NEGERI
18	20225913	SDN 1 Cintanagara	Jl. Cigedug Kp.Situwangi	Cintanagara	NEGERI
19	20226750	SDN 1 Sindangsari	Kp. Sindangsari	Sindangsari	NEGERI
20	20226853	SDN 1 Sukahurip	Kp. Cihuru	Sukahurip	NEGERI
21	20225695	SDN 2 Barusuda	Kp.Cibitung	Barusuda	NEGERI
22	20225802	SDN 2 Cigedug	Kp. Cigedug Tonggoh RT.003 RW.009	Cigedug	NEGERI
23	20225914	SDN 2 Cintanagara	Kp.Siderang	Cintanagara	NEGERI
24	20226754	SDN 2 Sindangsari	Kp. Babakan Cipondok RT. 003 RW. 005	Sindangsari	NEGERI
25	20226854	SDN 2 Sukahurip	Kp. Cirata RT. 01 RW. 09 Ds. Sukahurip Kec. Cigedug Kab. Garut	Sukahurip	NEGERI
26	20225803	SDN 3 Cigedug	Kp. Cigedug Tonggoh Rt. 03 Rw. 09	Cigedug	NEGERI
27	20225915	SDN 3 Cintanagara	Kp.pabrik	Cintanagara	NEGERI
28	20226755	SDN 3 Sindangsari	Kp. Tegal Biuk	Sindangsari	NEGERI
29	20225804	SDN 4 Cigedug	Kp.Barukai	Cigedug	NEGERI
30	20226760	SDN 4 Sindangsari	Kp. Gentong	Sindangsari	NEGERI
31	20225805	SDN 5 Cigedug	Kp. Ciredey RT 04/RW 02 Desa Cigedug Kecamatan Cigedug Kabupaten Garut 44116	Cigedug	NEGERI
32	70008112	SMP ISLAM TERPADU AL-INAYAH	Kp. Bukatanah RT.003 RW. 001 Ds.Barusuda	Barusuda	SWASTA
33	69901591	SMP IT DAARUL AMIIN	Kp. Barusuda RT 03/06	Barusuda	SWASTA
34	70006047	SMP PLUS DARUL ARHAM	Kp.Babakan Cipondok RT.003 RW.005	Sindangsari	SWASTA
35	20268985	SMPIT AL-MU AWANAH	Kp Cigedug Tonggoh RT 01 RW 09 Cigedug Garut	Cigedug	SWASTA
36	70006180	SMPIT HIDAYATUL MUBTADIIN CIGEDUG	Kp.Baru Kai Kaler RT.03 RW.04	Cigedug	SWASTA
37	20227421	SMPN 1 Cigedug	Jl. Cigedug No. 125	Sukahurip	NEGERI
38	69831577	SMPN 2 Cigedug	JL.CICAYUR	Cintanagara	NEGERI
39	69771392	SMPS IT ASSALAM GUNUNG CIKURAY	KP. KEBONSATU RT 01 RW 01	Cigedug	SWASTA
40	69771391	SMPS IT MANBAUL HUDA	Kp. Areng	Cigedug	SWASTA
41	69762789	SMPS MAARIF 1 MARUFUL HIDAYAH	KP. BARUKAI DESA CIGEDUG	Cigedug	SWASTA
42	70048199	MA HIDAYATUL MUBTADIIN	KP. BARUKAI KALER	Kec. Cigedug	SWASTA
43	70048216	MA NAHDLATUL ULAMA FATHUN NAHWI	Kp. Situgede RT-03 RW-08	Cigedug	SWASTA
44	69886291	MAS Nurul Falah	Kp. Olan Rt.01 Rw.05	Barusuda	SWASTA
45	69877297	SMA IT AL - MUAWANAH CIGEDUG	KP. CIGEDUG TONGGOH	Cigedug	SWASTA
46	70029864	SMA IT Daarul Amiin	Kp. Barusuda RT. 003 RW. 006	Barusuda	SWASTA
47	69936614	SMA PLUS MA RUFUL HIDAYAH	Jl. Raya Cigedug Kp. Barukai RT 01/04	Cigedug	SWASTA
48	69935579	SMA TUNAS KARYA	Kp. Cirata RT 01 RW 04	Sukahurip	SWASTA
49	69822687	SMAS ISLAM TERPADU AL KAFI CIGEDUG	Cigedug	Cigedug	SWASTA
50	69755545	SMKS MANBAUL HUDA	KP. ARENG RT 02 RW 03	Cigedug	SWASTA
